"","state","year","Methadone","Buprenorphine","prescribing_rate","unemployment_rate","percent_low_income_unisured_children","poverty_rate","governor_is_democrat_1_yes","federal_minimum_wage","state_minimum_wage","food_insecure_percent","log_gsp","tanf_caseload_per_receipt_percent","snap_caseload_per_receipt_percent","medicaid_beneficiaries_percent","wic_participation_percent","nslp_total_participation_percent","state_house_that_is_democrat_percent","state_senate_that_is_democrat_percent","totalgrm","totalpop","kgPer100000","pdmp","marijuana","nal","gsl","medicaid","pillmill","prescription_opioid_overdose_deaths","trend"
"District of Columbia.6","District of Columbia",2011,7.25997220969488,0.450912026475693,39.8,10.2,2.9,19.9,0,7.40306427636527,8.42417659034669,14.50809,11.6279429739033,36.0507097727086,56.4166264970893,33.4774171920731,2.66522905143181,7.52637171379208,0,100,2767.19,613687.335338609,0.450912026475693,0,0,0,0,0,0,3.7,5
"District of Columbia.7","District of Columbia",2012,6.95546726749005,0.549448410400496,40.3,9,2.2,18.4,0,7.25,8.25,13.85732,11.6328085162716,40.2487987889159,56.4860712816598,34.1121789524382,2.59293419921869,7.51321773155246,0,100,3439,625900.4366749,0.549448410400496,0,0,0,0,0,0,0,6
"District of Columbia.8","District of Columbia",2013,6.37094007358442,0.678032560720304,41.1,8.5,1.2,21.3,0,7.12430657158813,8.10696954697959,15.94521,11.6343657271746,38.169207841339,56.5287660129217,31.3606552329341,2.41313083104967,7.77498200264803,0,100,4348.82,641388.076610961,0.678032560720304,0,0,0,0,0,0,3,7
"District of Columbia.9","District of Columbia",2014,6.45344472962804,0.867294011770475,40.1,7.8,1.3,19,0,7.00176840525888,9.1747310137875,11.77848,11.6582302100648,38.899070657032,56.3111830533891,35.788892997654,2.19766729914706,7.78205423771968,0,100,5666.05,653302.100914251,0.867294011770475,0,0,0,0,0,0,4.8,8
"District of Columbia.10","District of Columbia",2015,6.34873117697831,0.928077171969646,35.7,6.9,0.6,16.6,0,6.87589493329054,9.95819266200699,13.72085,11.6925618122524,39.8468410976388,56.4041404458042,37.0213677502276,2.16086159755321,7.83489302736572,0,100,6179.75,665865.963159593,0.928077171969646,0,0,0,0,0,0,7.2,9
"District of Columbia.11","District of Columbia",2016,5.97407143412523,1.09037778451961,32.5,6.1,2,16.3,0,6.7279376077978,10.6719010330586,11.00075,11.7183242110141,40.1349567258325,56.3186629526462,36.2554134797481,2.10859011700457,7.91073194650381,0,100,7382.18,677029.567623884,1.09037778451961,0,0,0,0,0,0,24.2,10
"District of Columbia.12","District of Columbia",2017,5.81753566563756,1.37814439082399,28.5,6.1,0.1,13.6,0,6.60604173086676,10.4785489524093,11.5664854049683,11.7316753283787,40.3987893614352,57.5071579784085,37.2369490411717,1.95682726392419,7.59576086643265,0,100,9454.33,686018.828139427,1.37814439082399,0,0,0,0,0,0,29.9,11
"Florida.1","Florida",2006,7.32130112618602,0.0978362539644622,79.7,3.2,11.1,11.5,0,5.74624535865163,7.14096510589717,11.37817,13.6250599304708,60.6961490855669,47.4907053364171,12.2886234868847,2.10691479436054,8.38507094460888,34,35,17773.89,18166977.2500245,0.0978362539644622,0,0,0,0,0,0,6.2,0
"Florida.2","Florida",2007,8.39836088289759,0.190925120636634,82.2,4,12.9,12.5,0,5.61512494416222,7.27240453933242,11.62638,13.6305435247656,62.562768071974,50.93976896552,11.1433885374232,2.28940340405803,8.36712336702374,35,35,35068.8,18367829.1693959,0.190925120636634,0,0,0,0,0,0,7.4,1
"Florida.3","Florida",2008,7.63717852693092,0.257108215672389,84.3,6.3,11.5,13.1,0,6.23513559661295,7.2370206326499,19.13684,13.5872928508667,61.4590563204321,51.2634989497762,11.8783438821782,2.506468156054,8.40779595305415,36,35,47635.19,18527292.049157,0.257108215672389,0,0,0,0,0,0,7.3,2
"Florida.4","Florida",2009,7.57696894102875,0.341618028795048,86.3,10.4,12.6,14.6,0,6.86430484975189,7.55597526209331,17.94678,13.5446023134273,56.4631846507051,51.307646840084,14.2259939127129,2.71098831886782,8.36552686739746,37,35,63720.75,18652630.9002939,0.341618028795048,0,0,0,0,0,0,8,3
"Florida.5","Florida",2010,7.74394280712324,0.403266957248665,87.6,11.1,9.4,16,0,7.52583541444309,7.52583541444309,17.09887,13.551114148289,54.4434373919625,52.6494659426818,14.9326282540641,2.70415901631256,8.53613034664924,37,35,75998.77,18845771.6740569,0.403266957248665,0,0,0,0,0,0,8.7,4
